"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"ASHG19AP1B100009197V5"	2.7037127	5.13561	5.0162144	5.2494173	5.12444	3.6472785	3.3559194	4.6121755	4.1155114	4.324241	2.814921	3.8415112	3.2856245	2.7479913	3.4801865
"ASHG19AP1B100009198V5"	10.099406	8.894285	8.218065	8.379818	9.102296	10.965532	10.65776	9.963552	9.697563	10.136799	10.060565	9.4342375	9.681122	9.533502	10.56414
"ASHG19AP1B100009199V5"	2.7037127	2.33273	2.466728	2.3831048	2.3352275	2.3326864	2.3719409	2.7915537	3.5677552	2.6544256	4.6570873	4.453506	4.237584	4.3303647	2.333044
"ASHG19AP1B100009200V5"	5.0971594	3.676588	4.4862566	4.8211355	3.0043726	3.6273735	3.7388961	2.7179499	4.0031843	3.724837	2.814921	4.8478856	4.476585	3.8875015	3.2223723
"ASHG19AP1B100009201V5"	10.301968	13.312997	13.675478	13.540952	12.837276	11.075132	10.624458	11.011658	11.30468	10.812902	10.502098	10.214303	9.758622	10.1465845	9.688407
"ASHG19AP1B100009202V5"	5.540499	5.7236214	5.346634	5.364706	5.741906	6.7497745	6.2528534	6.524658	6.7207108	6.9239573	6.606459	5.530612	6.6067147	6.457555	6.878766
"ASHG19AP1B100009241V5"	7.252674	6.7853513	5.2192144	4.6860223	5.8053904	9.512161	8.619512	8.671647	9.584428	9.185721	8.957947	9.352326	9.086532	9.1100445	9.303008
"ASHG19AP1B100009276V5"	5.205606	2.6488519	2.466728	2.3339167	2.3352275	2.5138748	2.3649633	2.7077277	2.5253103	2.3609407	4.5095572	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009322V5"	3.595148	5.855802	5.987333	6.249893	6.599058	5.587281	5.818687	5.417419	5.2273097	5.7037935	4.529735	5.0350914	5.96496	5.5234404	5.3416853
"ASHG19AP1B100009334V5"	5.0222774	3.5988424	3.2017746	3.2804718	3.8095717	6.6715817	5.111176	7.89644	6.0153394	5.511408	6.726339	6.677455	3.9788144	6.876515	4.4987426
"ASHG19AP1B100009416V5"	13.812586	7.6230526	8.0721	8.281412	7.9538746	6.3226333	6.4190817	6.2897463	6.17175	6.1433597	6.45953	6.462613	9.896728	7.067523	7.3409395
